현재 시간,행동,결과,레벨,소지금,강화비용,판매가격,강화 성공률
2024-04-03 19:01:58:05,게임 실행,게임 시작,1,1000,0,0,0
2024-04-03 19:04:15:98,강화,강화 성공,1,990,10,100,100
2024-04-03 19:04:16:36,판매,판매,2,990,15,180,93
2024-04-03 19:18:53:25,강화,강화 성공,1,1160,10,100,100
2024-04-03 19:18:53:39,강화,강화 성공,2,1145,15,180,93
2024-04-03 19:18:53:48,강화,강화 성공,3,1123,22,324,86
2024-04-03 19:18:53:59,강화,강화 성공,4,1089,34,583,80
2024-04-03 19:18:53:70,강화,강화 실패,5,1038,51,1050,75
2024-04-03 19:18:53:87,강화,강화 성공,1,1028,10,100,100
2024-04-03 19:18:53:97,강화,강화 성공,2,1013,15,180,93
2024-04-03 19:18:54:09,강화,강화 성공,3,991,22,324,86
2024-04-03 19:18:54:17,강화,강화 성공,4,957,34,583,80
2024-04-03 19:18:54:25,강화,강화 실패,5,906,51,1050,75
2024-04-03 19:18:54:34,강화,강화 성공,1,896,10,100,100
2024-04-03 19:18:54:42,강화,강화 성공,2,881,15,180,93
2024-04-03 19:18:54:55,강화,강화 성공,3,859,22,324,86
2024-04-03 19:18:54:64,강화,강화 성공,4,825,34,583,80
2024-04-03 19:18:54:72,강화,강화 성공,5,774,51,1050,75
2024-04-03 19:18:54:82,강화,강화 성공,6,698,76,1890,70
2024-04-03 19:18:54:92,강화,강화 실패,7,584,114,3401,65
2024-04-03 19:18:55:05,강화,강화 성공,1,574,10,100,100
2024-04-03 19:18:55:20,강화,강화 성공,2,559,15,180,93
2024-04-03 19:18:55:30,강화,강화 성공,3,537,22,324,86
2024-04-03 19:18:55:44,강화,강화 성공,4,503,34,583,80
2024-04-03 19:18:55:52,강화,강화 성공,5,452,51,1050,75
2024-04-03 19:18:55:60,강화,강화 성공,6,376,76,1890,70
2024-04-03 19:18:55:74,강화,강화 실패,7,262,114,3401,65
2024-04-03 19:18:55:82,강화,강화 성공,1,252,10,100,100
2024-04-03 19:18:55:94,강화,강화 성공,2,237,15,180,93
2024-04-03 19:18:56:07,강화,강화 성공,3,215,22,324,86
2024-04-03 19:18:56:15,강화,강화 성공,4,181,34,583,80
2024-04-03 19:18:56:24,강화,강화 성공,5,130,51,1050,75
2024-04-03 19:18:56:34,강화,강화 성공,6,54,76,1890,70
2024-04-03 19:18:56:42,강화,소지금 부족,7,54,114,3401,65
2024-04-03 19:18:56:64,강화,소지금 부족,7,54,114,3401,65
